"Lat: -0.5, Long: -13.5, over the ocean",year,obs_anoms,rcp26,rcp45,rcp60,rcp85
0,1850,-0.492,,,,
1,1851,-0.531,,,,
2,1852,-0.362,,,,
3,1853,-0.434,,,,
4,1854,-0.758,,,,
5,1855,-0.25,,,,
6,1856,-0.257,,,,
7,1857,-0.542,,,,
8,1858,-0.858,,,,
9,1859,0.004,,,,
10,1860,-0.282,,,,
11,1861,-0.415,,,,
12,1862,-0.028,,,,
13,1863,-0.325,,,,
14,1864,-0.538,,,,
15,1865,-0.224,,,,
16,1866,-0.153,,,,
17,1867,-0.423,,,,
18,1868,-0.15,,,,
19,1869,-0.456,,,,
20,1870,-0.184,,,,
21,1871,-0.368,,,,
22,1872,0.039,,,,
23,1873,0.148,,,,
24,1874,-0.739,,,,
25,1875,0.449,,,,
26,1876,-0.253,,,,
27,1877,-0.273,,,,
28,1878,-0.084,,,,
29,1879,-0.257,,,,
30,1880,-0.498,,,,
31,1881,-0.22,,,,
32,1882,-0.54,,,,
33,1883,-0.315,,,,
34,1884,-0.778,,,,
35,1885,-0.146,,,,
36,1886,0.216,,,,
37,1887,-0.459,,,,
38,1888,-0.77,,,,
39,1889,0.165,,,,
40,1890,-0.454,,,,
41,1891,-0.65,,,,
42,1892,-0.657,,,,
43,1893,-0.333,,,,
44,1894,-0.239,,,,
45,1895,-0.435,,,,
46,1896,-0.26,,,,
47,1897,-0.042,,,,
48,1898,-0.426,,,,
49,1899,-0.048,,,,
50,1900,-0.349,,,,
51,1901,-0.201,,,,
52,1902,-0.59,,,,
53,1903,-0.546,,,,
54,1904,-1.076,,,,
55,1905,-0.73,,,,
56,1906,-0.682,,,,
57,1907,-0.514,,,,
58,1908,-0.679,,,,
59,1909,-0.115,,,,
60,1910,0.085,,,,
61,1911,-0.718,,,,
62,1912,-0.104,,,,
63,1913,-0.034,,,,
64,1914,-0.374,,,,
65,1915,-0.252,,,,
66,1916,-0.02,,,,
67,1917,0.041,,,,
68,1918,-0.458,,,,
69,1919,-0.629,,,,
70,1920,-0.219,,,,
71,1921,0.179,,,,
72,1922,-0.388,,,,
73,1923,-0.121,,,,
74,1924,0.146,,,,
75,1925,0.096,,,,
76,1926,0.219,,,,
77,1927,0.125,,,,
78,1928,-0.022,,,,
79,1929,-0.385,,,,
80,1930,-0.222,,,,
81,1931,-0.076,,,,
82,1932,-0.406,,,,
83,1933,0.296,,,,
84,1934,0.52,,,,
85,1935,0.167,,,,
86,1936,-0.451,,,,
87,1937,0.398,,,,
88,1938,0.022,,,,
89,1939,-0.076,,,,
90,1940,0.231,,,,
91,1941,0.01,,,,
92,1942,-0.222,,,,
93,1943,-0.16,,,,
94,1944,0.038,,,,
95,1945,0.45,,,,
96,1946,-0.276,,,,
97,1947,0.278,,,,
98,1948,-0.196,,,,
99,1949,0.424,,,,
100,1950,-0.026,,,,
101,1951,0.146,,,,
102,1952,0.153,,,,
103,1953,-0.058,,,,
104,1954,-0.284,,,,
105,1955,-0.124,,,,
106,1956,-0.532,,,,
107,1957,-0.27,,,,
108,1958,-0.724,,,,
109,1959,0.155,,,,
110,1960,0.071,,,,
111,1961,0.26,,,,
112,1962,0.174,,,,
113,1963,0.928,,,,
114,1964,-0.295,,,,
115,1965,-0.412,,,,
116,1966,0.25,,,,
117,1967,-0.248,,,,
118,1968,0.472,,,,
119,1969,-0.045,,,,
120,1970,0.017,,,,
121,1971,-0.075,,,,
122,1972,0.125,,,,
123,1973,0.683,,,,
124,1974,0.36,,,,
125,1975,0.032,,,,
126,1976,-0.531,,,,
127,1977,0.005,,,,
128,1978,-0.342,,,,
129,1979,0.229,,,,
130,1980,-0.121,,,,
131,1981,0.224,,,,
132,1982,0.016,,,,
133,1983,-0.066,,,,
134,1984,0.586,,,,
135,1985,0.273,,,,
136,1986,0.232,,,,
137,1987,0.487,,,,
138,1988,0.668,,,,
139,1989,0.339,,,,
140,1990,0.235,,,,
141,1991,0.215,,,,
142,1992,-0.454,,,,
143,1993,0.249,,,,
144,1994,0.268,,,,
145,1995,0.698,,,,
146,1996,0.555,,,,
147,1997,0.079,,,,
148,1998,0.945,,,,
149,1999,0.653,0.38,0.371,0.403,0.369
150,2000,0.266,0.381,0.388,0.373,0.411
151,2001,0.349,0.462,0.477,0.448,0.49
152,2002,0.435,0.448,0.44,0.511,0.454
153,2003,0.73,0.431,0.428,0.423,0.427
154,2004,0.407,0.502,0.482,0.505,0.499
155,2005,0.285,0.528,0.51,0.573,0.525
156,2006,0.562,0.525,0.505,0.512,0.54
157,2007,0.74,0.522,0.615,0.584,0.507
158,2008,0.921,0.52,0.583,0.572,0.52
159,2009,0.65,0.639,0.58,0.565,0.661
160,2010,1.123,0.611,0.687,0.647,0.681
161,2011,0.586,0.63,0.622,0.636,0.593
162,2012,0.262,0.723,0.574,0.62,0.66
163,2013,0.577,0.67,0.636,0.625,0.632
164,2014,0.392,0.787,0.798,0.826,0.66
165,2015,0.498,0.735,0.799,0.758,0.726
166,2016,0.837,0.751,0.736,0.775,0.79
167,2017,0.802,0.721,0.756,0.741,0.838
168,2018,0.728,0.837,0.816,0.705,0.818
169,2019,,0.741,0.848,0.784,0.851
170,2020,,0.825,0.819,0.819,0.844
171,2021,,0.83,0.817,0.776,0.933
172,2022,,0.925,0.867,0.795,0.99
173,2023,,0.895,0.867,0.895,1.005
174,2024,,0.91,0.921,0.9,1.04
175,2025,,0.922,0.883,0.909,1.032
176,2026,,0.952,0.979,1.016,1.119
177,2027,,0.997,0.927,0.908,1.108
178,2028,,0.912,0.99,0.969,1.09
179,2029,,0.99,1.025,1.078,1.147
180,2030,,1.017,1.106,1.006,1.154
181,2031,,0.952,1.05,1.053,1.22
182,2032,,1.008,1.057,1.058,1.168
183,2033,,1.123,1.063,1.076,1.268
184,2034,,1.012,1.139,1.035,1.333
185,2035,,1.01,1.177,1.057,1.299
186,2036,,1.117,1.145,1.141,1.321
187,2037,,1.121,1.16,1.136,1.345
188,2038,,1.109,1.236,1.077,1.468
189,2039,,1.191,1.281,1.25,1.49
190,2040,,1.073,1.248,1.135,1.524
191,2041,,1.121,1.271,1.24,1.545
192,2042,,1.09,1.317,1.208,1.516
193,2043,,1.067,1.3,1.211,1.582
194,2044,,1.132,1.368,1.225,1.714
195,2045,,1.049,1.282,1.227,1.618
196,2046,,1.047,1.358,1.216,1.746
197,2047,,1.137,1.379,1.268,1.804
198,2048,,1.213,1.321,1.277,1.795
199,2049,,1.222,1.43,1.361,1.816
200,2050,,1.206,1.418,1.375,1.863
201,2051,,1.179,1.499,1.427,1.892
202,2052,,1.135,1.449,1.354,1.954
203,2053,,1.191,1.562,1.372,1.957
204,2054,,1.222,1.535,1.515,2.053
205,2055,,1.178,1.579,1.49,2.081
206,2056,,1.252,1.496,1.464,2.054
207,2057,,1.127,1.536,1.455,2.158
208,2058,,1.173,1.576,1.546,2.241
209,2059,,1.145,1.669,1.635,2.283
210,2060,,1.154,1.724,1.535,2.336
211,2061,,1.123,1.643,1.644,2.321
212,2062,,1.18,1.681,1.68,2.327
213,2063,,1.172,1.7,1.583,2.37
214,2064,,1.167,1.689,1.666,2.437
215,2065,,1.207,1.653,1.682,2.491
216,2066,,1.264,1.751,1.674,2.554
217,2067,,1.259,1.751,1.794,2.621
218,2068,,1.164,1.692,1.82,2.575
219,2069,,1.189,1.714,1.732,2.575
220,2070,,1.117,1.8,1.846,2.619
221,2071,,1.163,1.844,1.879,2.804
222,2072,,1.192,1.759,1.823,2.816
223,2073,,1.189,1.791,1.855,2.809
224,2074,,1.161,1.828,1.877,2.89
225,2075,,1.157,1.799,2.002,2.93
226,2076,,1.063,1.796,1.959,2.976
227,2077,,1.117,1.75,2.058,2.95
228,2078,,1.175,1.776,1.958,2.953
229,2079,,1.207,1.817,2.038,3.054
230,2080,,1.137,1.79,1.981,3.125
231,2081,,1.051,1.87,2.091,3.113
232,2082,,1.114,1.86,2.139,3.178
233,2083,,1.106,1.837,2.087,3.256
234,2084,,1.174,1.838,2.126,3.211
235,2085,,1.155,1.868,2.234,3.27
236,2086,,1.137,1.887,2.262,3.403
237,2087,,1.227,1.839,2.262,3.375
238,2088,,1.124,1.834,2.185,3.419
239,2089,,1.08,1.844,2.252,3.45
240,2090,,1.189,1.98,2.212,3.531
241,2091,,1.168,1.903,2.293,3.541
242,2092,,1.157,1.829,2.342,3.631
243,2093,,1.119,1.861,2.345,3.697
244,2094,,1.201,1.83,2.402,3.706
245,2095,,1.12,1.838,2.341,3.733
246,2096,,1.105,1.849,2.378,3.762
247,2097,,1.019,1.811,2.364,3.856
248,2098,,1.15,1.953,2.386,3.834
249,2099,,1.128,1.918,2.485,3.879
250,2100,,1.049,1.896,2.454,3.849
